name,text
KYUN KIM / 김균,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
평생보라색곰신_JYS219_ARMY,@OneofBTS_Army 미쳐도 단단히 미친거 같아요. 이게 말이되요? 군이 울 애들 데리고 지금 돈벌어보겠다고 눈 벌게 진거잖아요? 돌았나봐요 다들 🤬😡🤬😡🤬😡
yoon_n🎗,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
메리메,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
JM2JAIL,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
괭이바압,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
sunghoon lee,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
__ 문파 도깨비,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
tomorrowesperanza,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
sentor,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
포니,"RT @yellowknife000: #김기현 ""더 탐사 공범 김의겸 스토킹 감시용 전자발찌 채워야""

이거 완전 개토레이구만?!?😡🤬
누구한테 뭘 채워??

니 콧방맹이에 소 코뚜레 채우고 와서 얘기해라 가가멜색히야😡🤬 https://t.co/QRc…"
Ⓜ️itch,RT @DD625re: 너무 좋아서 욕이 나오다🤬🤬🫶 https://t.co/W6ONqujqY5
Melodyblue,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
찬,RT @218_201_m: 혹시 일본남성성우들은 불륜을 하지않으면 죽는병이있습니까💢🤬🤮❓️⁉️⁉️⁉️⁉️
다른풍경,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
